Protein	Genome
14_0903_12_40cm_200_scaffold_3165_2	14_0903_12_40cm_Bacteria_10609_55_11
14_0929_09_20cm_scaffold_79_9	14_0929_09_20cm_Bacteria_6715_55_10
14_0903_12_40cm_200_scaffold_168_13	14_0903_12_40cm_Acidobacteria_10612_65_12
14_0903_09_20cm_scaffold_178_2	14_0903_09_20cm_Bacteria_634_55_9
14_0903_12_40cm_200_scaffold_7_40	14_0903_12_40cm_Bacteria_10609_55_11
14_1009_12_20cm_scaffold_576_4	14_1009_12_20cm_Actinobacteria_8341_71_11
14_0929_09_20cm_scaffold_11_5	14_0929_09_20cm_Bacteria_6715_55_10
14_0903_09_20cm_scaffold_302_4	14_0903_09_20cm_Bacteria_634_55_9
14_0903_12_40cm_200_scaffold_7_32	14_0903_12_40cm_Bacteria_10609_55_11
14_0929_09_20cm_scaffold_7_55	14_0929_09_20cm_Bacteria_6715_55_10
14_0929_09_20cm_scaffold_4591_1	14_0929_09_20cm_Bacteria_6715_55_10
14_0903_13_30cm_scaffold_6003546_19	14_0903_13_30cm_Bacteria_4832_68_9
14_0903_09_30cm_scaffold_474_2	14_0903_09_30cm_Bacteria_688_55_7
14_0929_09_20cm_scaffold_4_86	14_0929_09_20cm_Bacteria_6715_55_10
14_0929_09_20cm_scaffold_7_63	14_0929_09_20cm_Bacteria_6715_55_10
14_0903_09_30cm_scaffold_387_12	14_0903_09_30cm_Bacteria_688_55_7
14_0929_09_20cm_scaffold_555_1	14_0929_09_20cm_Bacteria_6715_55_10
14_1009_16_40cm_scaffold_938_52	14_1009_16_40cm_Bacteria_10145_71_8
14_0929_09_20cm_scaffold_79_10	14_0929_09_20cm_Bacteria_6715_55_10
14_1009_16_40cm_scaffold_6380_6	14_1009_16_40cm_RBG_16_RIF_WS3X_71_46_curated_10208_69_7
14_0919_09_20cm_scaffold_81_66	14_0919_09_20cm_Bacteria_1670_60_14
14_0903_12_40cm_200_scaffold_168_16	14_0903_12_40cm_Acidobacteria_10612_65_12
14_0903_12_40cm_200_scaffold_5180_1	14_0903_12_40cm_Ktedonobacter_racemifer_4702_53_8
14_0903_09_20cm_scaffold_144_1	14_0903_09_20cm_Bacteria_634_55_9
14_0929_09_20cm_scaffold_31_40	14_0929_09_20cm_Bacteria_6715_55_10
14_0903_09_20cm_scaffold_787_1	14_0903_09_20cm_Bacteria_634_55_9
14_0929_09_20cm_scaffold_8_216	14_0929_09_20cm_Bacteria_6715_55_10
14_0903_09_20cm_scaffold_144_2	14_0903_09_20cm_Bacteria_634_55_9
14_0903_09_20cm_scaffold_525_11	14_0903_09_20cm_Bacteria_634_55_9
14_0919_09_20cm_scaffold_157_3	14_0919_09_20cm_Bacteria_1670_60_14
14_0903_13_20cm_scaffold_7760_4	14_0903_13_20cm_Acidobacteriales_1219_55_6
14_0929_09_20cm_scaffold_8_134	14_0929_09_20cm_Bacteria_6715_55_10
14_0919_09_20cm_scaffold_2359_1	14_0919_09_20cm_Acidobacteria_1667_64_9
14_0903_09_30cm_scaffold_2351_4	14_0903_09_30cm_Bacteria_688_55_7
14_0929_09_20cm_scaffold_434_8	14_0929_09_20cm_Bacteria_6715_55_10
14_1009_16_40cm_scaffold_6380_4	14_1009_16_40cm_RBG_16_RIF_WS3X_71_46_curated_10208_69_7
14_0903_05_20cm_scaffold_652_21	14_0903_05_20cm_Chloroflexi_387_50_7
14_1009_02_40cm_scaffold_1114_11	14_1009_02_40cm_Chloroflexi_3845_53_8
14_0903_09_30cm_scaffold_474_1	14_0903_09_30cm_Bacteria_688_55_7
14_0903_09_20cm_scaffold_739_3	14_0903_09_20cm_Bacteria_634_55_9
14_0903_12_40cm_200_scaffold_335_5	14_0903_12_40cm_Bacteria_10609_55_11
14_0903_12_40cm_200_scaffold_588_6	14_0903_12_40cm_Bacteria_10609_55_11
14_0927_12_20cm_scaffold_1331_3	14_0927_12_20cm_Bacteria_6339_54_8
14_0903_05_20cm_scaffold_652_19	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_05_20cm_scaffold_6906_4	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_09_20cm_scaffold_2472_4	14_0903_09_20cm_Bacteria_634_55_9
14_0903_09_20cm_scaffold_144_3	14_0903_09_20cm_Bacteria_634_55_9
14_0929_09_20cm_scaffold_7_53	14_0929_09_20cm_Bacteria_6715_55_10
14_0903_09_20cm_scaffold_302_6	14_0903_09_20cm_Bacteria_634_55_9
14_0929_09_20cm_scaffold_8_206	14_0929_09_20cm_Bacteria_6715_55_10
14_0929_09_20cm_scaffold_8_135	14_0929_09_20cm_Bacteria_6715_55_10
14_0903_09_20cm_scaffold_1004_1	14_0903_09_20cm_Bacteria_634_55_9
14_1009_16_40cm_scaffold_36269_7	14_1009_16_40cm_Acidobacteria_10092_55_8
14_1009_09_30cm_scaffold_5845_12	14_1009_09_30cm_Gemmatimonadetes_7962_61_6
14_0903_12_40cm_200_scaffold_335_8	14_0903_12_40cm_Bacteria_10609_55_11
14_0929_05_30cm_scaffold_507_24	14_0929_05_30cm_Bacteria_3252_59_8
14_0919_09_20cm_scaffold_157_13	14_0919_09_20cm_Bacteria_1670_60_14
14_0927_12_20cm_scaffold_1331_8	14_0927_12_20cm_Bacteria_6339_54_8
14_1009_16_40cm_scaffold_31728_3	14_1009_16_40cm_Bacteria_10089_71_7
14_1009_16_40cm_scaffold_1_113	14_1009_16_40cm_Bacteria_10076_68_15
14_0903_12_40cm_200_scaffold_699_21	14_0903_12_40cm_Bacteria_10609_55_11
14_0929_09_20cm_scaffold_6518_1	14_0929_09_20cm_Bacteria_6715_55_10
14_0919_09_20cm_scaffold_157_4	14_0919_09_20cm_Bacteria_1670_60_14
14_0919_09_20cm_scaffold_432_7	14_0919_09_20cm_Bacteria_1670_60_14
14_1009_12_20cm_scaffold_8364_1	14_1009_12_20cm_Acidobacteria_8403_56_5
14_0903_13_20cm_scaffold_2323_1	14_0903_13_20cm_Acidobacteria_10553_57_8
14_0929_05_40cm_scaffold_11858_3	14_0929_05_40cm_Bacteria_3423_66_6
14_0903_13_20cm_scaffold_7760_3	14_0903_13_20cm_Acidobacteriales_1219_55_6
14_1009_16_40cm_scaffold_31728_2	14_1009_16_40cm_Bacteria_10089_71_7
14_0929_09_20cm_scaffold_4591_2	14_0929_09_20cm_Bacteria_6715_55_10
14_0903_12_40cm_200_scaffold_6_34	14_0903_12_40cm_Bacteria_10609_55_11
14_0903_09_20cm_scaffold_492_1	14_0903_09_20cm_Bacteria_634_55_9
14_0903_13_20cm_scaffold_348_57	14_0903_13_20cm_Proteobacteria_1234_70_6
14_0929_09_20cm_scaffold_8_214	14_0929_09_20cm_Bacteria_6715_55_10
14_0903_09_30cm_scaffold_817_2	14_0903_09_30cm_Bacteria_688_55_7
14_0929_09_20cm_scaffold_7_65	14_0929_09_20cm_Bacteria_6715_55_10
14_1009_16_30cm_scaffold_12725_2	14_1009_16_30cm_Bacteria_9830_55_17
14_0903_12_30cm_scaffold_1709_5	14_0903_12_30cm_Bacteria_1108_73_5
14_1009_16_30cm_scaffold_4911_14	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0903_02_30cm_scaffold_40_34	14_0903_02_30cm_Bacteria_162_64_22
14_0903_12_20cm_scaffold_23062_2	14_0903_12_20cm_Bacteria_924_55_9
14_0903_09_20cm_scaffold_178_4	14_0903_09_20cm_Bacteria_634_55_9
14_0929_09_20cm_scaffold_555_3	14_0929_09_20cm_Bacteria_6715_55_10
14_0903_12_30cm_scaffold_14220_3	14_0903_12_30cm_Bacteria_1108_73_5
14_0903_05_20cm_scaffold_3719_2	14_0903_05_20cm_Chloroflexi_387_50_7
14_0929_09_20cm_scaffold_1077_5	14_0929_09_20cm_Bacteria_6715_55_10
14_1009_12_20cm_scaffold_2468_1	14_1009_12_20cm_Bacteria_8356_72_5
14_0903_12_40cm_200_scaffold_267_1	14_0903_12_40cm_Bacteria_10609_55_11
14_0903_12_30cm_scaffold_3827_3	14_0903_12_30cm_Acidobacteria_1081_55_6
14_0929_05_40cm_scaffold_11858_1	14_0929_05_40cm_Bacteria_3423_66_6
14_1009_16_30cm_scaffold_90_320	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0903_09_20cm_scaffold_584_3	14_0903_09_20cm_Bacteria_634_55_9
14_1009_02_40cm_scaffold_719_7	14_1009_02_40cm_Gemmatimonadetes_3818_68_8
14_1009_16_30cm_scaffold_1220_40	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0929_09_20cm_scaffold_11_27	14_0929_09_20cm_Bacteria_6715_55_10
14_0903_12_30cm_scaffold_13327_1	14_0903_12_30cm_Bacteria_1108_73_5
14_0903_12_40cm_200_scaffold_178_4	14_0903_12_40cm_Bacteria_10609_55_11
14_1009_16_40cm_scaffold_6380_5	14_1009_16_40cm_RBG_16_RIF_WS3X_71_46_curated_10208_69_7
14_0919_12_20cm_scaffold_4986_7	14_0919_12_20cm_Bacteria_1758_59_7
14_0903_09_20cm_scaffold_541_4	14_0903_09_20cm_Bacteria_634_55_9
14_0929_09_20cm_scaffold_8_213	14_0929_09_20cm_Bacteria_6715_55_10
14_0929_09_20cm_scaffold_8_202	14_0929_09_20cm_Bacteria_6715_55_10
14_0929_09_20cm_scaffold_8_209	14_0929_09_20cm_Bacteria_6715_55_10
14_0903_05_40cm_scaffold_26012_1	14_0903_05_40cm_Alphaproteobacteria_523_63_8
14_0903_12_40cm_200_scaffold_3165_3	14_0903_12_40cm_Bacteria_10609_55_11
14_1009_16_40cm_scaffold_80164_4	14_1009_16_40cm_Bacteria_10089_71_7
14_0903_09_30cm_scaffold_2541_1	14_0903_09_30cm_Bacteria_688_55_7
14_0929_09_20cm_scaffold_8_203	14_0929_09_20cm_Bacteria_6715_55_10
14_0903_12_40cm_200_scaffold_178_3	14_0903_12_40cm_Bacteria_10609_55_11
14_0929_12_20cm_scaffold_7279_9	14_0929_12_20cm_Bacteria_7231_59_8
14_1009_16_30cm_scaffold_196_25	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0903_09_20cm_scaffold_302_2	14_0903_09_20cm_Bacteria_634_55_9
14_0903_13_30cm_scaffold_1193041_21	14_0903_13_30cm_Proteobacteria_5023_70_7
14_0903_12_40cm_200_scaffold_147_26	14_0903_12_40cm_Bacteria_10609_55_11
14_0903_13_30cm_scaffold_1022820_4	14_0903_13_30cm_Gemmatimonadetes_4837_61_12
14_0919_09_20cm_scaffold_2359_2	14_0919_09_20cm_Acidobacteria_1667_64_9
14_1009_16_40cm_scaffold_44509_6	14_1009_16_40cm_Deltaproteobacteria_10098_55_8
14_0927_12_20cm_scaffold_9045_2	14_0927_12_20cm_Verrucomicrobia_10548_59_7
14_0927_12_20cm_scaffold_44219_2	14_0927_12_20cm_Bacteria_6339_54_8
14_1009_16_30cm_scaffold_90_322	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0929_09_20cm_scaffold_31_38	14_0929_09_20cm_Bacteria_6715_55_10
14_0919_09_20cm_scaffold_157_2	14_0919_09_20cm_Bacteria_1670_60_14
14_0903_09_20cm_scaffold_144_4	14_0903_09_20cm_Bacteria_634_55_9
14_0903_13_30cm_scaffold_3190156_3	14_0903_13_30cm_Bacteria_4830_56_8
14_0919_09_20cm_scaffold_157_6	14_0919_09_20cm_Bacteria_1670_60_14
14_0927_12_20cm_scaffold_44219_1	14_0927_12_20cm_Bacteria_6339_54_8
14_1009_16_40cm_scaffold_16418_2	14_1009_16_40cm_Deltaproteobacteria_10098_55_8
14_0927_12_20cm_scaffold_633_27	14_0927_12_20cm_Bacteria_6339_54_8
14_1009_16_40cm_scaffold_31917_1	14_1009_16_40cm_Acidobacteria_10131_59_8
14_0903_05_20cm_scaffold_7742_1	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_13_20cm_scaffold_11881_2	14_0903_13_20cm_Proteobacteria_1234_70_6
14_0903_05_20cm_scaffold_10520_1	14_0903_05_20cm_Chloroflexi_387_50_7
14_0927_12_20cm_scaffold_21020_2	14_0927_12_20cm_Bacteria_6407_55_7
14_0929_09_20cm_scaffold_434_10	14_0929_09_20cm_Bacteria_6715_55_10
14_0903_12_30cm_scaffold_1112_9	14_0903_12_30cm_Bacteria_1092_55_8
14_1009_16_40cm_scaffold_58805_2	14_1009_16_40cm_Acidobacteria_10131_59_8
14_0927_12_20cm_scaffold_21020_5	14_0927_12_20cm_Bacteria_6407_55_7
14_1009_16_40cm_scaffold_56895_2	14_1009_16_40cm_Deltaproteobacteria_10053_55_6
14_0903_12_30cm_scaffold_1112_7	14_0903_12_30cm_Bacteria_1092_55_8
14_1009_16_40cm_scaffold_16418_1	14_1009_16_40cm_Deltaproteobacteria_10098_55_8
14_0903_13_30cm_scaffold_3190156_2	14_0903_13_30cm_Bacteria_4830_56_8
14_0903_12_40cm_200_scaffold_1313_9	14_0903_12_40cm_Bacteria_10609_55_11
14_0929_05_30cm_scaffold_1077_2	14_0929_05_30cm_Bacteria_3252_59_8
14_0903_09_20cm_scaffold_859_7	14_0903_09_20cm_Bacteria_634_55_9
14_0927_12_20cm_scaffold_633_28	14_0927_12_20cm_Bacteria_6339_54_8
14_0903_05_20cm_scaffold_7742_2	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_05_20cm_scaffold_652_17	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_12_40cm_200_scaffold_2807_6	14_0903_12_40cm_Ktedonobacter_racemifer_4702_53_8
14_0927_12_20cm_scaffold_7751_4	14_0927_12_20cm_Verrucomicrobia_10548_59_7
14_1009_12_30cm_scaffold_11192_7	14_1009_12_30cm_Acidobacteria_8525_55_6
14_0903_12_40cm_200_scaffold_33_14	14_0903_12_40cm_Bacteria_10609_55_11
14_0903_02_30cm_scaffold_40_37	14_0903_02_30cm_Bacteria_162_64_22
14_0903_13_30cm_scaffold_1353992_31	14_0903_13_30cm_Bacteria_4817_57_14
14_1009_16_40cm_scaffold_147315_7	14_1009_16_40cm_Acidobacteria_10092_55_8
14_1009_09_30cm_scaffold_14512_2	14_1009_09_30cm_Bacteria_7973_55_6
14_1009_16_30cm_scaffold_11063_6	14_1009_16_30cm_Bacteria_9664_55_6
14_0903_12_40cm_200_scaffold_2807_5	14_0903_12_40cm_Ktedonobacter_racemifer_4702_53_8
14_1009_09_30cm_scaffold_7505_10	14_1009_09_30cm_Deltaproteobacteria_7955_55_8
14_1009_09_30cm_scaffold_11967_3	14_1009_09_30cm_Bacteria_7973_55_6
14_0903_12_40cm_200_scaffold_7_42	14_0903_12_40cm_Bacteria_10609_55_11
14_0903_13_30cm_scaffold_1353992_35	14_0903_13_30cm_Bacteria_4817_57_14
14_0903_12_40cm_200_scaffold_7_47	14_0903_12_40cm_Bacteria_10609_55_11
14_0903_13_30cm_scaffold_685404_123	14_0903_13_30cm_Bacteria_4817_57_14
14_1009_16_30cm_scaffold_4911_11	14_1009_16_30cm_Actinobacteria_9682_72_9
14_1009_12_30cm_scaffold_11192_4	14_1009_12_30cm_Acidobacteria_8525_55_6
14_1009_16_30cm_scaffold_21447_13	14_1009_16_30cm_Bacteria_9621_54_11
14_1009_16_40cm_scaffold_36269_4	14_1009_16_40cm_Acidobacteria_10092_55_8
14_0903_12_40cm_200_scaffold_6_36	14_0903_12_40cm_Bacteria_10609_55_11
14_0929_09_20cm_scaffold_44_1	14_0929_09_20cm_Bacteria_6715_55_10
14_0929_09_30cm_scaffold_156_23	14_0929_09_30cm_Acidobacteria_6831_56_8
14_1009_16_40cm_scaffold_21416_6	14_1009_16_40cm_Verrucomicrobia_10135_59_6
14_0903_12_20cm_scaffold_14590_2	14_0903_12_20cm_Bacteria_10610_64_6
14_0927_02_20cm_scaffold_2006_5	14_0927_02_20cm_Betaproteobacteria_1910_66_14
14_0929_05_30cm_scaffold_3074_17	14_0929_05_30cm_Bacteria_3252_59_8
14_0903_09_20cm_scaffold_2866_1	14_0903_09_20cm_Bacteria_634_55_9
14_0927_02_20cm_scaffold_4371_1	14_0927_02_20cm_Betaproteobacteria_1910_66_14
14_0927_12_20cm_scaffold_115_58	14_0927_12_20cm_Bacteria_6339_54_8
14_0903_09_40cm_scaffold_475_17	14_0903_09_40cm_Bacteria_746_68_10
14_0903_09_30cm_scaffold_721_10	14_0903_09_30cm_Bacteria_688_55_7
14_1009_16_40cm_scaffold_31728_1	14_1009_16_40cm_Bacteria_10089_71_7
14_0903_12_30cm_scaffold_619_8	14_0903_12_30cm_Bacteria_1120_68_12
14_1009_16_40cm_scaffold_24583_1	14_1009_16_40cm_Acidobacteria_10131_59_8
14_0929_09_20cm_scaffold_13_80	14_0929_09_20cm_Bacteria_6715_55_10
14_0919_12_20cm_scaffold_852_5	14_0919_12_20cm_Acidobacteria_1789_58_8
14_0903_09_20cm_scaffold_302_9	14_0903_09_20cm_Bacteria_634_55_9
14_0903_13_30cm_scaffold_4328311_2	14_0903_13_30cm_Deltaproteobacteria_5016_55_6
14_0903_09_20cm_scaffold_502_13	14_0903_09_20cm_Bacteria_634_55_9
14_0929_09_20cm_scaffold_4_85	14_0929_09_20cm_Bacteria_6715_55_10
14_0903_09_30cm_scaffold_234_10	14_0903_09_30cm_Bacteria_688_55_7
14_0903_13_30cm_scaffold_1137608_4	14_0903_13_30cm_Bacteria_4966_70_7
14_1009_12_20cm_scaffold_7990_4	14_1009_12_20cm_Ktedonobacter_racemifer_8433_52_7
14_1009_09_30cm_scaffold_3560_9	14_1009_09_30cm_Bacteria_7987_68_6
14_0903_13_30cm_scaffold_1417979_10	14_0903_13_30cm_Bacteria_5132_55_21
14_0919_09_20cm_scaffold_271_1	14_0919_09_20cm_Bacteria_1670_60_14
14_0927_12_40cm_scaffold_4729_11	14_0927_12_40cm_Acidobacteria_6535_59_9
14_1009_16_40cm_scaffold_29300_8	14_1009_16_40cm_Betaproteobacteria_10094_64_30
14_0903_12_40cm_200_scaffold_10546_1	14_0903_12_40cm_Ktedonobacter_racemifer_4702_53_8
14_0903_05_20cm_scaffold_14417_1	14_0903_05_20cm_Chloroflexi_387_50_7
14_1009_16_30cm_scaffold_4911_13	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0929_05_40cm_scaffold_2514_9	14_0929_05_40cm_Betaproteobacteria_3492_64_9
14_0919_02_20cm_scaffold_18_56	14_0919_02_20cm_Betaproteobacteria_5881_65_14
14_0929_02_20cm_scaffold_2617_5	14_0929_02_20cm_Betaproteobacteria_2465_65_10
14_0903_13_30cm_scaffold_2789747_16	14_0903_13_30cm_Bacteria_4853_55_13
14_0903_09_20cm_scaffold_178_6	14_0903_09_20cm_Bacteria_634_55_9
14_0903_09_20cm_scaffold_859_1	14_0903_09_20cm_Bacteria_634_55_9
14_1009_16_30cm_scaffold_20725_6	14_1009_16_30cm_Bacteria_9830_55_17
14_1009_16_30cm_scaffold_1220_44	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0929_09_20cm_scaffold_555_5	14_0929_09_20cm_Bacteria_6715_55_10
14_0903_05_20cm_scaffold_9164_1	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_13_40cm_scaffold_7110_4	14_0903_13_40cm_Bacteria_1416_54_6
14_0903_09_30cm_scaffold_234_11	14_0903_09_30cm_Bacteria_688_55_7
14_0903_05_40cm_scaffold_1822_19	14_0903_05_40cm_Betaproteobacteria_516_64_10
14_0903_09_20cm_scaffold_502_14	14_0903_09_20cm_Bacteria_634_55_9
14_0903_13_30cm_scaffold_1997417_2	14_0903_13_30cm_Bacteria_4830_56_8
14_1009_16_30cm_scaffold_8902_9	14_1009_16_30cm_Betaproteobacteria_9678_65_7
14_0903_09_30cm_scaffold_1833_3	14_0903_09_30cm_Bacteria_688_55_7
14_0903_09_30cm_scaffold_14479_2	14_0903_09_30cm_Bacteria_688_55_7
14_0903_12_40cm_200_scaffold_2808_1	14_0903_12_40cm_Bacteria_10609_55_11
14_0929_09_20cm_scaffold_4_84	14_0929_09_20cm_Bacteria_6715_55_10
14_0929_12_40cm_scaffold_1482_11	14_0929_12_40cm_Betaproteobacteria_7558_64_8
14_0929_09_20cm_scaffold_13_81	14_0929_09_20cm_Bacteria_6715_55_10
14_1009_16_40cm_scaffold_39183_3	14_1009_16_40cm_Bacteria_10151_57_6
14_0929_05_20cm_scaffold_42535_3	14_0929_05_20cm_Acidobacteria_2994_55_6
14_0903_13_30cm_scaffold_2789747_7	14_0903_13_30cm_Bacteria_4853_55_13
14_0929_09_20cm_scaffold_624_1	14_0929_09_20cm_Bacteria_6715_55_10
14_0903_09_20cm_scaffold_6491_4	14_0903_09_20cm_Bacteria_634_55_9
14_1009_16_30cm_scaffold_90_319	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0903_12_40cm_200_scaffold_26026_3	14_0903_12_40cm_Bacteria_4661_66_7
14_0903_13_40cm_scaffold_26445_7	14_0903_13_40cm_Bacteria_1416_54_6
14_0903_05_20cm_scaffold_12061_2	14_0903_05_20cm_Chloroflexi_387_50_7
14_0929_09_20cm_scaffold_18_40	14_0929_09_20cm_Bacteria_6715_55_10
14_0903_09_20cm_scaffold_541_5	14_0903_09_20cm_Bacteria_634_55_9
14_1009_05_40cm_scaffold_2512_4	14_1009_05_40cm_Gemmatimonadetes_4372_68_6
14_1009_16_30cm_scaffold_19808_2	14_1009_16_30cm_Bacteria_9621_54_11
14_0903_12_30cm_scaffold_2580_1	14_0903_12_30cm_Acidobacteria_1081_55_6
14_0927_05_20cm_scaffold_3699_6	14_0927_05_20cm_Gemmatimonadetes_2145_69_13
14_1009_12_30cm_scaffold_1399_2	14_1009_12_30cm_Acidobacteria_8525_55_6
14_1009_16_40cm_scaffold_147315_6	14_1009_16_40cm_Acidobacteria_10092_55_8
14_0929_09_30cm_scaffold_1048_4	14_0929_09_30cm_Gemmatimonadetes_6895_69_8
14_1009_12_20cm_scaffold_3695_15	14_1009_12_20cm_Acidobacteria_8364_56_6
14_1009_09_40cm_scaffold_13404_2	14_1009_09_40cm_Bacteria_8194_68_8
14_0903_12_20cm_scaffold_407_13	14_0903_12_20cm_Gemmatimonadetes_909_70_19
14_0929_05_20cm_scaffold_1311_9	14_0929_05_20cm_Ktedonobacter_racemifer_3036_53_7
14_0929_09_20cm_scaffold_7_64	14_0929_09_20cm_Bacteria_6715_55_10
14_0903_13_30cm_scaffold_1353992_32	14_0903_13_30cm_Bacteria_4817_57_14
14_0903_12_40cm_200_scaffold_335_4	14_0903_12_40cm_Bacteria_10609_55_11
14_0903_09_30cm_scaffold_5661_8	14_0903_09_30cm_Acidobacteria_691_56_9
14_0903_13_30cm_scaffold_6397487_2	14_0903_13_30cm_Acidobacteria_4908_55_5
14_1009_16_40cm_scaffold_31917_2	14_1009_16_40cm_Acidobacteria_10131_59_8
14_1009_16_30cm_scaffold_32525_10	14_1009_16_30cm_Acidobacteria_9671_56_15
14_0929_05_30cm_scaffold_3074_18	14_0929_05_30cm_Bacteria_3252_59_8
14_0903_12_40cm_200_scaffold_588_2	14_0903_12_40cm_Bacteria_10609_55_11
14_0903_12_30cm_scaffold_3827_5	14_0903_12_30cm_Acidobacteria_1081_55_6
14_1009_16_30cm_scaffold_20725_7	14_1009_16_30cm_Bacteria_9830_55_17
14_0903_09_20cm_scaffold_529_1	14_0903_09_20cm_Bacteria_634_55_9
14_0929_09_20cm_scaffold_923_9	14_0929_09_20cm_Ktedonobacter_racemifer_6734_54_8
14_1009_16_40cm_scaffold_292_155	14_1009_16_40cm_Bacteria_10176_71_10
14_0927_05_20cm_scaffold_5666_2	14_0927_05_20cm_Ktedonobacter_racemifer_2220_52_8
14_0903_05_30cm_scaffold_2019_10	14_0903_05_30cm_Bacteria_4594_57_8
14_0903_13_30cm_scaffold_3190156_1	14_0903_13_30cm_Bacteria_4830_56_8
14_0903_12_30cm_scaffold_3188_11	14_0903_12_30cm_Bacteria_1108_73_5
14_1009_12_20cm_scaffold_5259_7	14_1009_12_20cm_Ktedonobacter_racemifer_8422_52_9
14_0903_12_20cm_scaffold_319_8	14_0903_12_20cm_Ktedonobacter_racemifer_1020_54_11
14_0919_12_20cm_scaffold_906_15	14_0919_12_20cm_Ktedonobacter_racemifer_1829_53_9
14_0903_13_30cm_scaffold_6003546_20	14_0903_13_30cm_Bacteria_4832_68_9
14_0929_09_20cm_scaffold_8_208	14_0929_09_20cm_Bacteria_6715_55_10
14_1009_13_20cm_scaffold_108_12	14_1009_13_20cm_Acidobacteria_8926_56_6
14_1009_16_40cm_scaffold_14594_5	14_1009_16_40cm_Bacteria_10195_66_6
14_0929_09_20cm_scaffold_8_142	14_0929_09_20cm_Bacteria_6715_55_10
14_0903_09_20cm_scaffold_302_8	14_0903_09_20cm_Bacteria_634_55_9
14_0903_13_30cm_scaffold_4292240_3	14_0903_13_30cm_Bacteria_4981_58_6
14_0903_09_20cm_scaffold_584_2	14_0903_09_20cm_Bacteria_634_55_9
14_0929_09_20cm_scaffold_1077_4	14_0929_09_20cm_Bacteria_6715_55_10
14_0903_02_30cm_scaffold_40_33	14_0903_02_30cm_Bacteria_162_64_22
14_0903_13_30cm_scaffold_13606811_11	14_0903_13_30cm_Bacteria_4853_55_13
14_0903_13_30cm_scaffold_1507580_10	14_0903_13_30cm_Acidobacteria_5060_64_8
14_1009_16_40cm_scaffold_12564_2	14_1009_16_40cm_Bacteria_10151_57_6
14_0929_09_20cm_scaffold_8_133	14_0929_09_20cm_Bacteria_6715_55_10
14_0919_12_20cm_scaffold_5179_2	14_0919_12_20cm_Bacteria_1758_59_7
14_0919_12_20cm_scaffold_852_6	14_0919_12_20cm_Acidobacteria_1789_58_8
14_0903_05_20cm_scaffold_29326_4	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_09_20cm_scaffold_426_1	14_0903_09_20cm_Bacteria_634_55_9
14_0903_09_20cm_scaffold_899_4	14_0903_09_20cm_Bacteria_634_55_9
14_0903_09_30cm_scaffold_2541_2	14_0903_09_30cm_Bacteria_688_55_7
14_1009_16_40cm_scaffold_14138_2	14_1009_16_40cm_Acidobacteria_10131_59_8
14_0903_09_20cm_scaffold_525_7	14_0903_09_20cm_Bacteria_634_55_9
14_1009_12_20cm_scaffold_3891_5	14_1009_12_20cm_Acidobacteria_8364_56_6
14_0903_09_30cm_scaffold_842_2	14_0903_09_30cm_Bacteria_688_55_7
14_0903_13_30cm_scaffold_1417979_9	14_0903_13_30cm_Bacteria_5132_55_21
14_0929_09_20cm_scaffold_44_9	14_0929_09_20cm_Bacteria_6715_55_10
14_0919_09_20cm_scaffold_3270_18	14_0919_09_20cm_Sphingomonadales_1655_67_6
14_0903_13_30cm_scaffold_2474410_19	14_0903_13_30cm_Proteobacteria_5023_70_7
14_0903_09_40cm_scaffold_475_18	14_0903_09_40cm_Bacteria_746_68_10
14_0903_13_20cm_scaffold_1267_15	14_0903_13_20cm_Proteobacteria_1234_70_6
14_0919_12_20cm_scaffold_14270_3	14_0919_12_20cm_Bacteria_1758_59_7
14_0903_12_30cm_scaffold_619_9	14_0903_12_30cm_Bacteria_1120_68_12
14_0903_05_20cm_scaffold_931_5	14_0903_05_20cm_Micromonosporales_397_71_6
14_1009_16_30cm_scaffold_21447_11	14_1009_16_30cm_Bacteria_9621_54_11
14_1009_16_40cm_scaffold_6380_11	14_1009_16_40cm_RBG_16_RIF_WS3X_71_46_curated_10208_69_7
14_0903_12_30cm_scaffold_6656_16	14_0903_12_30cm_Bacteria_1108_73_5
14_0903_05_20cm_scaffold_537_9	14_0903_05_20cm_Chloroflexi_387_50_7
14_1009_16_40cm_scaffold_4728_2	14_1009_16_40cm_Actinobacteria_10239_70_8
14_1009_09_40cm_scaffold_6810_11	14_1009_09_40cm_Bacteria_8185_57_8
14_1009_16_40cm_scaffold_24836_3	14_1009_16_40cm_Bacteria_10219_71_7
